carrier,carrier_id,destination_wilaya,destination_wilaya_id,destination_zone,zone_id,delivery_type,delivery_type_id,price_da,market_price_mean_da,market_price_median_da,market_price_min_da,market_price_max_da,carrier_count,distance_km,weight_kg,length_cm,width_cm,height_cm,volume_m3,volumetric_weight_kg,urgency,vehicle_type,traffic_index,weather_index,hour_of_day,wassil_historical_price_da,target_price_da,source_date,source_context,source_title,source_url,feature_notes
EcoTrack,4,Ain Defla,31,north,0,home,0,850.0,830.0,850.0,700.0,900.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Maystro,2,Ain Defla,31,north,0,home,0,700.0,830.0,850.0,700.0,900.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Noest,3,Ain Defla,31,north,0,home,0,900.0,830.0,850.0,700.0,900.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Yalidine,0,Ain Defla,31,north,0,home,0,800.0,830.0,850.0,700.0,900.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
ZR Express,1,Ain Defla,31,north,0,home,0,900.0,830.0,850.0,700.0,900.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
EcoTrack,4,Ain Defla,31,north,0,stopdesk,1,500.0,564.0,550.0,500.0,650.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Maystro,2,Ain Defla,31,north,0,stopdesk,1,550.0,564.0,550.0,500.0,650.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Noest,3,Ain Defla,31,north,0,stopdesk,1,600.0,564.0,550.0,500.0,650.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Yalidine,0,Ain Defla,31,north,0,stopdesk,1,650.0,564.0,550.0,500.0,650.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
ZR Express,1,Ain Defla,31,north,0,stopdesk,1,520.0,564.0,550.0,500.0,650.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Maystro,2,Ain Temouchent,32,north,0,home,0,700.0,783.33,800.0,700.0,850.0,3,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Ain Temouchent,32,north,0,home,0,850.0,783.33,800.0,700.0,850.0,3,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Ain Temouchent,32,north,0,home,0,800.0,783.33,800.0,700.0,850.0,3,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
Maystro,2,Ain Temouchent,32,north,0,stopdesk,1,550.0,566.67,550.0,500.0,650.0,3,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Ain Temouchent,32,north,0,stopdesk,1,500.0,566.67,550.0,500.0,650.0,3,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Ain Temouchent,32,north,0,stopdesk,1,650.0,566.67,550.0,500.0,650.0,3,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
EcoTrack,4,Alger,0,north,0,home,0,550.0,560.0,500.0,500.0,750.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference."
Maystro,2,Alger,0,north,0,home,0,500.0,560.0,500.0,500.0,750.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Alger,0,north,0,home,0,750.0,560.0,500.0,500.0,750.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Alger,0,north,0,home,0,500.0,560.0,500.0,500.0,750.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
ZR Express,1,Alger,0,north,0,home,0,500.0,560.0,500.0,500.0,750.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference."
EcoTrack,4,Alger,0,north,0,stopdesk,1,300.0,384.0,400.0,300.0,450.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference."
Maystro,2,Alger,0,north,0,stopdesk,1,400.0,384.0,400.0,300.0,450.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Alger,0,north,0,stopdesk,1,450.0,384.0,400.0,300.0,450.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Alger,0,north,0,stopdesk,1,400.0,384.0,400.0,300.0,450.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
ZR Express,1,Alger,0,north,0,stopdesk,1,370.0,384.0,400.0,300.0,450.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference."
EcoTrack,4,Annaba,17,north,0,home,0,650.0,780.0,800.0,650.0,900.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference."
Maystro,2,Annaba,17,north,0,home,0,700.0,780.0,800.0,650.0,900.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Annaba,17,north,0,home,0,900.0,780.0,800.0,650.0,900.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Annaba,17,north,0,home,0,800.0,780.0,800.0,650.0,900.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
ZR Express,1,Annaba,17,north,0,home,0,850.0,780.0,800.0,650.0,900.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference."
EcoTrack,4,Annaba,17,north,0,stopdesk,1,400.0,544.0,550.0,400.0,650.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference."
Maystro,2,Annaba,17,north,0,stopdesk,1,550.0,544.0,550.0,400.0,650.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Annaba,17,north,0,stopdesk,1,600.0,544.0,550.0,400.0,650.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Annaba,17,north,0,stopdesk,1,650.0,544.0,550.0,400.0,650.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
ZR Express,1,Annaba,17,north,0,stopdesk,1,520.0,544.0,550.0,400.0,650.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference."
EcoTrack,4,Batna,6,highlands,1,home,0,800.0,820.0,800.0,700.0,900.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference."
Maystro,2,Batna,6,highlands,1,home,0,700.0,820.0,800.0,700.0,900.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Batna,6,highlands,1,home,0,900.0,820.0,800.0,700.0,900.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Batna,6,highlands,1,home,0,800.0,820.0,800.0,700.0,900.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
ZR Express,1,Batna,6,highlands,1,home,0,900.0,820.0,800.0,700.0,900.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference."
EcoTrack,4,Batna,6,highlands,1,stopdesk,1,500.0,564.0,550.0,500.0,650.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference."
Maystro,2,Batna,6,highlands,1,stopdesk,1,550.0,564.0,550.0,500.0,650.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Batna,6,highlands,1,stopdesk,1,600.0,564.0,550.0,500.0,650.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Batna,6,highlands,1,stopdesk,1,650.0,564.0,550.0,500.0,650.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
ZR Express,1,Batna,6,highlands,1,stopdesk,1,520.0,564.0,550.0,500.0,650.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference."
EcoTrack,4,Bechar,46,south,2,home,0,1100.0,1240.0,1200.0,1100.0,1400.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference."
Maystro,2,Bechar,46,south,2,home,0,1400.0,1240.0,1200.0,1100.0,1400.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Bechar,46,south,2,home,0,1200.0,1240.0,1200.0,1100.0,1400.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Bechar,46,south,2,home,0,1400.0,1240.0,1200.0,1100.0,1400.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
ZR Express,1,Bechar,46,south,2,home,0,1100.0,1240.0,1200.0,1100.0,1400.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference."
EcoTrack,4,Bechar,46,south,2,stopdesk,1,700.0,864.0,800.0,700.0,1100.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference."
Maystro,2,Bechar,46,south,2,stopdesk,1,1000.0,864.0,800.0,700.0,1100.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Bechar,46,south,2,stopdesk,1,800.0,864.0,800.0,700.0,1100.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Bechar,46,south,2,stopdesk,1,1100.0,864.0,800.0,700.0,1100.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
ZR Express,1,Bechar,46,south,2,stopdesk,1,720.0,864.0,800.0,700.0,1100.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference."
EcoTrack,4,Bejaia,7,north,0,home,0,650.0,740.0,750.0,650.0,800.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference."
Maystro,2,Bejaia,7,north,0,home,0,700.0,740.0,750.0,650.0,800.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference."
Noest,3,Bejaia,7,north,0,home,0,750.0,740.0,750.0,650.0,800.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference."
Yalidine,0,Bejaia,7,north,0,home,0,800.0,740.0,750.0,650.0,800.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference."
ZR Express,1,Bejaia,7,north,0,home,0,800.0,740.0,750.0,650.0,800.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference."
EcoTrack,4,Blida,1,north,0,home,0,600.0,630.0,600.0,600.0,750.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet,"TAWSILSTAR Guelma"
Maystro,2,Blida,1,north,0,home,0,600.0,630.0,600.0,600.0,750.0,5,,,,,,,,,,,,,,,2025,public tariff table,"Maystro"
Noest,3,Blida,1,north,0,home,0,750.0,630.0,600.0,600.0,750.0,5,,,,,,,,,,,,,,,2025/2026,public tariff table,"Noest"
Yalidine,0,Blida,1,north,0,home,0,600.0,630.0,600.0,600.0,750.0,5,,,,,,,,,,,,,,,2025,public tariff table,"Yalidine"
ZR Express,1,Blida,1,north,0,home,0,600.0,630.0,600.0,600.0,750.0,5,,,,,,,,,,,,,,,2025,public tariff table,"ZR Express"
Maystro,2,Ghardaia,40,south,2,home,0,900.0,950.0,950.0,900.0,1000.0,3,,,,,,,,,,,,,,,2025,public tariff table,"Maystro"
Noest,3,Ghardaia,40,south,2,home,0,1000.0,950.0,950.0,900.0,1000.0,3,,,,,,,,,,,,,,,2025/2026,public tariff table,"Noest"
Yalidine,0,Ghardaia,40,south,2,home,0,950.0,950.0,950.0,900.0,1000.0,3,,,,,,,,,,,,,,,2025,public tariff table,"Yalidine"
EcoTrack,4,Oran,24,north,0,home,0,600.0,750.0,800.0,600.0,850.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet,"TAWSILSTAR Guelma"
Maystro,2,Oran,24,north,0,home,0,700.0,750.0,800.0,600.0,850.0,5,,,,,,,,,,,,,,,2025,public tariff table,"Maystro"
Noest,3,Oran,24,north,0,home,0,850.0,750.0,800.0,600.0,850.0,5,,,,,,,,,,,,,,,2025/2026,public tariff table,"Noest"
Yalidine,0,Oran,24,north,0,home,0,800.0,750.0,800.0,600.0,850.0,5,,,,,,,,,,,,,,,2025,public tariff table,"Yalidine"
ZR Express,1,Oran,24,north,0,home,0,800.0,750.0,800.0,600.0,850.0,5,,,,,,,,,,,,,,,2025,public tariff table,"ZR Express"
EcoTrack,4,Setif,13,north,0,home,0,650.0,760.0,800.0,650.0,850.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet,"TAWSILSTAR Guelma"
Maystro,2,Setif,13,north,0,home,0,700.0,760.0,800.0,650.0,850.0,5,,,,,,,,,,,,,,,2025,public tariff table,"Maystro"
Noest,3,Setif,13,north,0,home,0,850.0,760.0,800.0,650.0,850.0,5,,,,,,,,,,,,,,,2025/2026,public tariff table,"Noest"
Yalidine,0,Setif,13,north,0,home,0,800.0,760.0,800.0,650.0,850.0,5,,,,,,,,,,,,,,,2025,public tariff table,"Yalidine"
ZR Express,1,Setif,13,north,0,home,0,800.0,760.0,800.0,650.0,850.0,5,,,,,,,,,,,,,,,2025,public tariff table,"ZR Express"
EcoTrack,4,Tamanrasset,52,south,2,home,0,1500.0,1660.0,1600.0,1500.0,2000.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet,"TAWSILSTAR Guelma"
Maystro,2,Tamanrasset,52,south,2,home,0,1600.0,1660.0,1600.0,1500.0,2000.0,5,,,,,,,,,,,,,,,2025,public tariff table,"Maystro"
Noest,3,Tamanrasset,52,south,2,home,0,2000.0,1660.0,1600.0,1500.0,2000.0,5,,,,,,,,,,,,,,,2025/2026,public tariff table,"Noest"
Yalidine,0,Tamanrasset,52,south,2,home,0,1600.0,1660.0,1600.0,1500.0,2000.0,5,,,,,,,,,,,,,,,2025,public tariff table,"Yalidine"
ZR Express,1,Tamanrasset,52,south,2,home,0,1600.0,1660.0,1600.0,1500.0,2000.0,5,,,,,,,,,,,,,,,2025,public tariff table,"ZR Express"
Maystro,2,Tindouf,54,south,2,home,0,1600.0,1633.33,1600.0,1600.0,1700.0,3,,,,,,,,,,,,,,,2025,public tariff table,"Maystro"
Noest,3,Tindouf,54,south,2,home,0,1700.0,1633.33,1600.0,1600.0,1700.0,3,,,,,,,,,,,,,,,2025/2026,public tariff table,"Noest"
Yalidine,0,Tindouf,54,south,2,home,0,1600.0,1633.33,1600.0,1600.0,1700.0,3,,,,,,,,,,,,,,,2025,public tariff table,"Yalidine"
EcoTrack,4,Tizi Ouzou,11,north,0,home,0,650.0,730.0,750.0,650.0,800.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet,"TAWSILSTAR Guelma"
Maystro,2,Tizi Ouzou,11,north,0,home,0,700.0,730.0,750.0,650.0,800.0,5,,,,,,,,,,,,,,,2025,public tariff table,"Maystro"
Noest,3,Tizi Ouzou,11,north,0,home,0,750.0,730.0,750.0,650.0,800.0,5,,,,,,,,,,,,,,,2025/2026,public tariff table,"Noest"
Yalidine,0,Tizi Ouzou,11,north,0,home,0,800.0,730.0,750.0,650.0,800.0,5,,,,,,,,,,,,,,,2025,public tariff table,"Yalidine"
